step,next_token_id,next_token_text,next_logprob,entropy,text_len
76,13,.,-0.259765625,0.5859375,337
77,10926, Maybe,-0.16015625,0.66015625,343
78,1070, there,-0.11572265625,0.361328125,349
79,596,'s,-0.00537109375,0.033935546875,351
80,264, a,-0.0107421875,0.0654296875,353
81,39392, quicker,-0.296875,0.84375,361
82,1648, way,-0.0206298828125,0.10009765625,365
83,13,.,-1.1015625,1.6640625,366
84,8840, Oh,-0.37890625,1.125,369
85,11,",",-0.1865234375,0.59765625,370
86,1314, right,-0.08544921875,0.40234375,376
87,11,",",-0.142578125,0.392578125,377
88,279, the,-0.6328125,1.25,381
89,2916, distrib,-0.259765625,0.59375,389
90,6844,utive,0.0,5.098991096019745e-08,394
91,3424, property,-6.4849853515625e-05,0.000720977783203125,403
92,0,!,-0.169921875,0.63671875,404
93,358, I,-0.455078125,1.1640625,406
94,649, can,-0.012939453125,0.0751953125,410
95,1464, break,-0.08837890625,0.470703125,416
96,433, it,-0.4921875,0.76171875,419
97,1523, down,-0.002197265625,0.0157470703125,424
98,1139, into,-0.185546875,0.80859375,429
99,8831, easier,-1.1796875,1.8203125,436
100,5219, numbers,-0.10205078125,0.330078125,444
101,13,.,-0.421875,0.9453125,445
102,4815," 

",-0.875,1.4921875,448
103,10267,Let,-0.9609375,1.6875,451
104,757, me,-0.1474609375,0.419921875,454
105,1456, try,-0.57421875,1.4296875,458
106,430, that,-0.90625,1.8828125,463
107,13,.,-0.255859375,0.55859375,464
108,220, ,-0.3515625,0.84375,465
109,717,12,-0.06591796875,0.275390625,467
110,3115, times,-0.189453125,0.6640625,473
111,220, ,-2.002716064453125e-05,0.0002689361572265625,474
112,1032,13,-0.08935546875,0.29296875,476
113,374, is,-0.26953125,0.8515625,479
114,279, the,-0.033935546875,0.1474609375,483
115,1890, same,-3.5762786865234375e-07,8.285045623779297e-06,488
116,439, as,0.0,1.080334186553955e-06,491
117,220, ,-0.38671875,0.6328125,492
118,605,10,-0.054931640625,0.208984375,494
119,3115, times,-0.007171630859375,0.046142578125,500
120,220, ,-1.9550323486328125e-05,0.00023746490478515625,501
121,1032,13,-0.00022602081298828125,0.002288818359375,503
122,5636, plus,-4.458427429199219e-05,0.000591278076171875,508
123,220, ,-1.1920928955078125e-07,2.905726432800293e-06,509
124,17,2,-3.5762786865234375e-07,6.020069122314453e-06,510
125,3115, times,-1.1920928955078125e-07,3.5017728805541992e-06,516
126,220, ,-1.5020370483398438e-05,0.00018596649169921875,517
127,1032,13,-7.152557373046875e-07,1.3589859008789062e-05,519
